name
Acer
Adafruit
Amazon
Apple
ASUS
Biostar
CrazyblocksTechnologies Computer Laboratories
Flextronics
Foxconn
Gigabyte
Graperain
Lenovo
MYIR
Pegatron
Positivo BGH
Samsung Electronics
SINOVOIP
Sunplus Technology
Supermicro
Texas Instruments
Xilinx
