name,cipn
A,A0
A1,A1
A2,A2
B,B0
B1,B1
B2,B2
C,C0
C1,C1
C2,C2
D,D0
D1,D1
D2,D2
E,E0
E1,E1
E2,E2
F,F0
F1,F1
F2,F2
G,G0
H,H0
I,I0
J,J0
K,K0
L,L0
M,M0
N,N0
O,O0
P,P0
Q,Q0
R,R0
S,S0
T,T0
U,U0
V,V0
W,W0
X,X0
Y,Y0
Z,Z0
