name,cipn
Brainsao GmbH,B12CE
BRC,B08B6
BRECIS,B0270
Bretelon Inc,B085E
Bright Micro,B00DC
Bright Micron Technology,B068A
BRN Phoenix,B0613
Broad Reach Engineering Co,B0549
Broadcom,B01BF
BroadLight,B0715
Brooktree,B00D6
Buffalo (Formerly Melco),B0383
Butterfly Network Inc,B089E
C EITEC,B064A
C-Corsa  Technology,B119B
c’t Magazine,B033E
Cabletron,B01A7
Cactus Technologies Limited,B11B0
Cal-Comp Industria,B08de
Calxeda Inc,B07A2
Cambridge Silicon Radio,B03D9
Camintonn C orporation,B0201
CanaanCreative Co Ltd,B09B5
Cannon,B006D
Capital Instruments Inc,B0152
Caplink Technology Limited,B1154
Carry Technology Co Ltd,B070E
Caspian Networks,B02EA
Catalyst,B0031
Cavium Networks,B034C
Celestica,B012C
CellGuide Ltd,B0683
Centaur Technology,B01CD
Centillium Communications,B0249
Centon Electronics,B0319
Century,B01AD
Century Micro Inc,B04E9
Ceremorphic Inc,B122A
Certicom Corporation,B066E
CERVO,B12CB
Cervoz Co Ltd,B10D3
Ceva,B0452
Cguys Incorporated,B0492
Chameleon Systems,B0225
Chao Yue Zhuo Computer  Business Dept .,B08EC
Chelsio Communications,B051C
Chengboliwei Electronic Business,B11E9
Chengdu Fengcai Electronic Technolog y,B1049
Chiaro,B02E3
Chicory Systems,B0273
Chip Expre ss,B0110
Chip2Chip Incorporated,B02C1
Chipcon AS,B039E
ChipCraft Sp . z.o.o.,B09FD
CHIPS & Systems Inc,B058C
Chipset Technology Holding Limited,B1020
ChipWrights,B03A2
Chrontel,B04C7
Chrysalis ITS,B02A8
Chun Well Technology Holding Limited,B1045
Cicada Semiconductor,B0398
Cimaron Communications,B016D
Cirrus Logic,B0101
Cisco Systems Inc,B028A
CKD Corporation Ltd,B0151
ClariPhy Communications Inc,B0797
Clear Logic,B01EC
Clearpoint,B0126
ClearSpeed,B0375
CloudBEAR LLC,B13AD
cMicrosystems Inc,B0515
Cochle ar Ltd,B0564
Codasip GmbH,B1083
Cogency Semiconductor,B039D
Cognex,B07B9
Colorful Technology Ltd,B09EC
Communications,B06D3
Comp ound Photonics,B084A
Compaq,B004A
Compete IT gmbH Co KG,B04FB
Components Inc,B0146
CompuRAM GmbH,B0586
CompuStocx (CSX),B055D
Comsys Communication Ltd,B062F
ComTier,B0257
Concept Computer,B033B
Concord Ide a Corporation,B07BC
Conexant (Rockwell),B0013
Coney Technology Co Ltd,B05CE
Connect One Ltd,B05DF
Connex Technology Inc,B05B0
Continental Technology (Holdings),B09A8
Contour Semiconductor Inc,B06EA
Convex Computer,B0068
CopperGate Communications,B0675
Core Chance Co Ltd,B0840
Corollary Inc,B0120
Coronis Systems,B061F
Corrent,B03C7
Corsair,B029E
Cortina Systems,B03F2
Cortus SAS,B0952
COS Memory AG,B0597
Costar Electronics Inc,B11F1
Cott Electronics Ltd,B132A
CPort Corporation,B0216
CPU Design,B0149
CPU Technology,B04C2
Cray Research,B00F2
Creative Chips GmbH,B08EF
Creative World International Limited,B139E
Credence Systems Corp,B04E0
Credo Technology Group Ltd,B124F
Crocus Technology Inc,B086E
Crosspoint Solutions,B0051
Crucial Technology,B059B
Crystal Semiconductor,B0064
CSI Halbleiter GmbH,B114C
Cswitch Corporation,B056D
Cuso,B08BC
CWRL Labs,B050E
CXMT,B1091
Cyan Technologies,B0385
Cypress,B0034
Dallas Semiconductor,B01A1
DaneElec (C Memory),B01DA
Dasima International Development,B08A7
DATARAM,B0191
Daten Tecnologia LTDA,B098F
Datotek International Co Ltd,B1179
DBroad Inc,B07B5
DEC,B00B5
Deciso B.V.,B09CE
Delkin Devices,B0294
Dell Technologies,B12FD
Delta Electronics,B03AD
Densbits Technology,B067A
Denso Corporation,B07CB
DEPO  Computers,B0919
Design Art Networks,B0719
Di splayLink,B060D
Diablo Technologies Inc,B0685
Dialog  Semiconductor,B007C
Diamond,B102C
Dibcom,B03B3
Diehl Aerospace,B0802
Digital Communications Technology Inc,B0413
Digital Microwave,B0173
DigiVision,B04BC
Dire Wolf,B114A
DIT Technology Co Ltd,B11D9
DoD,B019E
Dolphin Integration,B08E6
Domosys,B02E0
Dongguan Crown Code Electronic Commerce,B1129
Dongguan Guanma ecommerce Co Ltd,B1267
Dongguan Yingbang Commercial Trading  Co,B1120
Dosilicon Co Ltd,B08E5
Dot Hill Systems,B03FD
Dotcast,B0407
Douqi Technology,B0854
Draper Labs,B13B6
DSIN,B1131
DSL Mem ory,B08F7
DSP Group,B02BF
DSP Group,B04C4
Dukosi,B138C
Dune Networks,B06C7
Dust Leopard,B09D3
Dynachip,B01B9
Dynamem Inc,B0157
e-peas,B12D9
E-Rockic Technology Company Limited,B1389
EADS Astrium,B051F
eASIC,B05C4
Echelon Corporation,B0697
Echo w Technolo gy Ltd,B11FB
Edgewater Computer Systems,B0698
Efinix Inc,B10BC
Ehiway Microelectronic Science Tech Co,B132F
EIV(Switzerland),B0123
EKMemory,B070B
Elan Circuit Tech.,B0046
Electronic Commerce  Company  Ltd,B1025
Elektrobit,B02D5
Element,B02CD
Element CXI,B05FB
Eletronica,B07E9
Elite Flash Storage,B038C
Elmos Semiconductor AG,B09C1
Elpida,B02FE
EM MicroelectronicMarin SA,B120E
EM Solutions,B028F
Ember Corporation,B0615
eMemory Technology,B0329
Emerson Automation Solutions,B0886
Emphany Systems Inc,B05E9
empowerTel Networks,B034A
